"RENOVAX Payments","RENOVAX Payments"
"Pay with crypto, card or PayPal via RENOVAX. You will be redirected to a secure checkout.","Paga con cripto, tarjeta o PayPal vía RENOVAX. Serás redirigido a un checkout seguro."
"Awaiting RENOVAX payment (invoice %1).","Esperando pago RENOVAX (factura %1)."
"RENOVAX paid: gross %1 %2, net %3, fee %4.","RENOVAX pagado: bruto %1 %2, neto %3, comisión %4."
"RENOVAX OVERPAID: gross %1 %2, net %3, fee %4.","RENOVAX SOBREPAGADO: bruto %1 %2, neto %3, comisión %4."
"RENOVAX partial payment received (%1). Manual review required.","Pago parcial RENOVAX recibido (%1). Revisión manual requerida."
"RENOVAX invoice expired without payment.","Factura RENOVAX expiró sin pago."
"RENOVAX webhook received but order is already paid — no action.","Webhook RENOVAX recibido pero el pedido ya está pagado — sin acción."
"No RENOVAX invoice associated with this order.","No hay factura RENOVAX asociada a este pedido."
"RENOVAX authentication failed. Verify the Bearer Token.","Falló la autenticación con RENOVAX. Verifica el Bearer Token."
"RENOVAX rejected the request: %1","RENOVAX rechazó la solicitud: %1"
"RENOVAX returned an unexpected error (%1).","RENOVAX devolvió un error inesperado (%1)."
"RENOVAX returned an invalid response.","RENOVAX devolvió una respuesta inválida."
"RENOVAX bearer token is not configured.","El Bearer Token de RENOVAX no está configurado."
