"RENOVAX Payments","RENOVAX Payments"
"Pay with crypto, card or PayPal via RENOVAX. You will be redirected to a secure checkout.","Pague com cripto, cartão ou PayPal via RENOVAX. Você será redirecionado para um checkout seguro."
"Awaiting RENOVAX payment (invoice %1).","Aguardando pagamento RENOVAX (fatura %1)."
"RENOVAX paid: gross %1 %2, net %3, fee %4.","RENOVAX pago: bruto %1 %2, líquido %3, taxa %4."
"RENOVAX OVERPAID: gross %1 %2, net %3, fee %4.","RENOVAX PAGAMENTO EXCEDIDO: bruto %1 %2, líquido %3, taxa %4."
"RENOVAX partial payment received (%1). Manual review required.","Pagamento parcial RENOVAX recebido (%1). Revisão manual necessária."
"RENOVAX invoice expired without payment.","Fatura RENOVAX expirou sem pagamento."
"RENOVAX webhook received but order is already paid — no action.","Webhook RENOVAX recebido, mas o pedido já está pago — sem ação."
"No RENOVAX invoice associated with this order.","Nenhuma fatura RENOVAX associada a este pedido."
"RENOVAX authentication failed. Verify the Bearer Token.","Falha na autenticação RENOVAX. Verifique o Bearer Token."
"RENOVAX rejected the request: %1","RENOVAX rejeitou a solicitação: %1"
"RENOVAX returned an unexpected error (%1).","RENOVAX retornou um erro inesperado (%1)."
"RENOVAX returned an invalid response.","RENOVAX retornou uma resposta inválida."
"RENOVAX bearer token is not configured.","O Bearer Token RENOVAX não está configurado."
